cidade;cidade final;distancia final;risco;conf
Campinas;Ribeirao Preto;140;140;16
Americana;Ribeirao Preto;30;30;33
Hortolandia;Ribeirao Preto;137;137;24
Braganca Paulista;Ribeirao Preto;120;120;44
Itu;Ribeirao Preto;110;110;40
Jundiai;Ribeirao Preto;30;30;67
Botucatu;Ribeirao Preto;80;80;95
Limeira;Ribeirao Preto;50;50;78
Indaiatuba;Ribeirao Preto;30;30;81
Barretos;Ribeirao Preto;35;35;3
Ribeirao Preto;Ribeirao Preto;0;0;0
SaoPaulo;Ribeirao Preto;40;40;0
Itapeva;Ribeirao Preto;12;12;0
